City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
61,norman wells,65.282,-126.8329,233.17,67,40,1.03,CA,1675308582
62,hay river,60.8156,-115.7999,243.14,69,0,3.6,CA,1675308583
63,valparaiso,-33.0393,-71.6273,287.95,88,0,1.54,CL,1675308513
64,atuona,-9.8,-139.0333,299.07,80,91,7.12,PF,1675308583
65,bengkulu,-3.8004,102.2655,301.25,70,97,2.83,ID,1675308584
66,khatanga,71.9667,102.5,243.67,95,100,2.83,RU,1675308584
67,saint-philippe,-21.3585,55.7679,298.92,82,13,3.29,RE,1675308585
68,victoria,22.2855,114.1577,295.91,77,5,7.15,HK,1675308585
69,mayo,38.8876,-76.5119,274.33,68,0,1.79,US,1675308586
70,harboore,56.6175,8.1807,278.35,78,6,9.61,DK,1675308586
71,ancud,-41.8697,-73.8203,284.54,84,58,1.9,CL,1675308586
72,palo alto,37.4419,-122.143,285.12,65,20,2.06,US,1675308486
73,bluff,-46.6,168.3333,291.13,92,85,5.69,NZ,1675308587
74,boden,65.8252,21.6886,266.15,92,99,3.0,SE,1675308587
75,champerico,14.3,-91.9167,299.37,68,13,2.22,GT,1675308588
76,chapais,49.7834,-74.8492,256.03,95,100,2.53,CA,1675308588
77,broome,42.2506,-75.833,266.96,73,0,2.06,US,1675308589
78,castro,-24.7911,-50.0119,290.82,96,63,0.94,BR,1675308589
79,namatanai,-3.6667,152.4333,303.25,59,82,2.5,PG,1675308589
80,faanui,-16.4833,-151.75,300.94,76,44,8.15,PF,1675308590
81,sayyan,15.1718,44.3244,283.86,55,71,0.54,YE,1675308590
82,manono,-7.3,27.4167,291.22,97,46,1.27,CD,1675308591
83,tigil,57.8,158.6667,259.33,85,62,1.75,RU,1675308591
84,hambantota,6.1241,81.1185,298.34,100,40,2.06,LK,1675308591
85,qaqortoq,60.7167,-46.0333,260.15,92,100,1.7,GL,1675308592
86,ambon,-3.6954,128.1814,305.23,66,20,2.57,ID,1675308592
87,nizwa,22.9333,57.5333,289.37,65,0,0.88,OM,1675308593
88,fagernes,60.9858,9.2324,258.11,96,38,1.64,NO,1675308593
89,ponta delgada,37.7333,-25.6667,285.55,71,20,2.06,PT,1675308593
90,hearst,49.6835,-83.6665,251.29,96,56,2.74,CA,1675308594
91,ixtapa,20.7,-105.2,294.72,88,40,0.0,MX,1675308594
92,ponta do sol,32.6667,-17.1,290.5,64,66,4.74,PT,1675308595
93,kiunga,-6.1219,141.2906,301.67,73,100,1.23,PG,1675308595
94,lebu,-37.6167,-73.65,286.92,83,0,9.65,CL,1675308595
95,clevedon,51.4406,-2.8575,281.99,90,100,7.72,GB,1675308596
96,quzhou,28.9594,118.8686,280.18,70,100,4.52,CN,1675308596
97,muscat,23.6139,58.5922,291.16,72,0,3.21,OM,1675308597
98,nicoya,10.1483,-85.452,297.12,71,39,5.17,CR,1675308597
99,oistins,13.0667,-59.5333,298.2,73,40,6.17,BB,1675308598
100,poum,-20.2333,164.0167,300.71,64,99,4.42,NC,1675308598
101,butaritari,3.0707,172.7902,299.97,79,100,8.94,KI,1675308599
102,asau,46.4333,26.4,272.66,85,98,4.25,RO,1675308599
103,griffith,41.5284,-87.4237,269.2,70,0,4.63,US,1675308599
104,torbay,47.6666,-52.7314,261.63,80,0,2.68,CA,1675308600
105,sechura,-5.5569,-80.8222,297.27,73,71,2.12,PE,1675308601
106,curillo,1.0333,-75.9191,298.23,57,87,0.53,CO,1675308601
107,chuy,-33.6971,-53.4616,294.3,79,47,3.27,UY,1675308602
108,havoysund,70.9963,24.6622,271.28,68,100,1.71,NO,1675308602
109,kruisfontein,-34.0033,24.7314,287.53,71,65,2.62,ZA,1675308603
110,bandhi,26.5861,68.3006,283.08,28,0,1.97,PK,1675308604
111,hilo,19.7297,-155.09,301.64,84,40,3.09,US,1675308604
112,celestun,20.8667,-90.4,296.54,80,2,4.88,MX,1675308604
113,verkhnyaya inta,65.9811,60.3094,267.97,85,42,7.44,RU,1675308605
114,slonim,53.0867,25.3219,273.65,94,100,4.1,BY,1675308605
115,ola,59.5833,151.2833,264.34,91,95,2.02,RU,1675308606
116,ribeira grande,38.5167,-28.7,285.8,82,19,1.34,PT,1675308606
117,kitaibaraki,36.7833,140.75,278.79,38,19,7.06,JP,1675308607
118,voi,-3.3945,38.563,294.88,82,43,1.04,KE,1675308607
119,chokurdakh,70.6333,147.9167,250.24,98,100,1.84,RU,1675308608
120,provideniya,64.3833,-173.3,269.21,80,75,6.0,RU,1675308608
121,fort nelson,58.8053,-122.7002,247.92,77,20,2.57,CA,1675308609
122,mana,5.6592,-53.7767,297.08,88,96,2.48,GF,1675308609
123,opuwo,-18.0607,13.84,291.77,52,98,0.63,NA,1675308610
124,bubaque,11.2833,-15.8333,298.14,56,2,7.19,GW,1675308610
125,cabo san lucas,22.8909,-109.9124,292.32,75,0,2.06,MX,1675308534
126,beringovskiy,63.05,179.3167,267.25,96,100,4.31,RU,1675308611
127,severo-kurilsk,50.6789,156.125,268.89,74,58,5.05,RU,1675308611
128,danville,36.586,-79.395,277.51,93,100,0.0,US,1675308612
129,vardo,70.3705,31.1107,273.14,59,100,8.23,NO,1675308612
130,guerrero negro,27.9769,-114.0611,287.26,61,0,4.18,MX,1675308613
131,santander,43.4647,-3.8044,281.74,81,100,1.54,ES,1675308613
132,yantal,56.8471,105.2542,260.39,90,100,2.43,RU,1675308614
133,talnakh,69.4865,88.3972,260.49,96,100,3.78,RU,1675308614
134,adancata,47.7333,26.3,275.25,75,40,2.06,RO,1675308615
135,hasaki,35.7333,140.8333,280.37,36,100,5.82,JP,1675308615
136,hermanus,-34.4187,19.2345,290.82,81,33,2.35,ZA,1675308616
137,nikolskoye,59.7035,30.7861,272.09,95,100,2.63,RU,1675308616
138,touros,-5.1989,-35.4608,299.31,75,100,4.3,BR,1675308617
139,nanortalik,60.1432,-45.2371,265.33,83,99,4.35,GL,1675308617
140,iquique,-20.2208,-70.1431,298.17,83,62,0.82,CL,1675308618
